76239 : ['3057 Business Instructional Fac', '08:00AM - 09:20AM', 'MW']
71906 : ['n.a.', 'ARRANGED', 'n.a.']
71907 : ['n.a.', 'ARRANGED', 'n.a.']
31335 : ['3041 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
39540 : ['240 Wohlers Hall', '11:00AM - 12:20PM', 'TR']
56299 : ['n.a.', '06:00AM - 07:20AM', 'MW']
59162 : ['1025 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
64875 : ['3063 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
70165 : ['n.a.', 'ARRANGED', 'n.a.']
70166 : ['n.a.', 'ARRANGED', 'n.a.']
76238 : ['1025 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
70167 : ['n.a.', 'ARRANGED', 'n.a.']
70168 : ['n.a.', 'ARRANGED', 'n.a.']
31339 : ['3063 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
31341 : ['3063 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
54993 : ['3063 Business Instructional Fac', '03:30PM - 04:50PM', 'TR']
57605 : ['3001 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
69441 : ['n.a.', 'ARRANGED', 'n.a.']
69442 : ['n.a.', 'ARRANGED', 'n.a.']
70661 : ['n.a.', '10:00PM - 11:20PM', 'TR']
69443 : ['n.a.', 'ARRANGED', 'n.a.']
69444 : ['n.a.', 'ARRANGED', 'n.a.']
71549 : ['n.a.', 'ARRANGED', 'n.a.']
71551 : ['n.a.', 'ARRANGED', 'n.a.']
49275 : ['2057 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
61974 : ['2011 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
62037 : ['2011 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
51813 : ['2063 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
51817 : ['n.a.', '09:30AM - 10:50AM', 'TR']
51814 : ['2063 Business Instructional Fac', '11:00AM - 12:20PM', 'TR']
51816 : ['2063 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
46977 : ['3041 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
46978 : ['2011 Business Instructional Fac', '09:30AM - 10:50AM', 'MW']
54477 : ['3041 Business Instructional Fac', '03:30PM - 04:50PM', 'MW']
31373 : ['3003 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
31377 : ['3009 Business Instructional Fac', '08:00AM - 09:20AM', 'MW']
31379 : ['n.a.', '08:00AM - 09:20AM', 'MW']
39543 : ['2057 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
66681 : ['n.a.', '08:00AM - 09:20AM', 'TR']
66682 : ['3063 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
66683 : ['1025 Business Instructional Fac', '02:00PM - 03:20PM', 'TR']
70667 : ['1025 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
31381 : ['3001 Business Instructional Fac', '08:00AM - 09:20AM', 'TR']
31382 : ['3001 Business Instructional Fac', '09:30AM - 10:50AM', 'TR']
74619 : ['3003 Business Instructional Fac', '12:30PM - 01:50PM', 'TR']
54570 : ['3063 Business Instructional Fac', '12:30PM - 01:50PM', 'MW']
31384 : ['3063 Business Instructional Fac', '02:00PM - 03:20PM', 'MW']
71963 : ['n.a.', 'ARRANGED', 'n.a.']
71964 : ['n.a.', 'ARRANGED', 'n.a.']
